m l̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
50.0,       943.29,    -1.3,           -4.4,         1.2,            3.8
100.0,      102.77,    -0.3,           -4.3,         0.0,            3.7
150.0,      25.53,     -0.3,           -4.6,         0.1,            3.8
200.0,      9.0,       -0.4,           -5.0,         0.1,            3.9
250.0,      3.85,      -0.4,           -5.4,         0.1,            4.3
300.0,      1.87,      -0.3,           -5.8,         0.2,            4.6
350.0,      0.99,      -0.3,           -6.3,         0.0,            4.9
400.0,      0.56,      -0.3,           -6.8,         0.0,            5.3
450.0,      0.33,      -0.3,           -7.1,         0.0,            5.7
500.0,      0.2,       -0.3,           -7.4,         0.0,            6.3
